in s,C1 in V
-1.4180E-07,1.672684467398E-02
-1.4160E-07,1.618082561530E-02
-1.4140E-07,1.507307003252E-02
-1.4120E-07,1.557655605488E-02
-1.4100E-07,1.571682021953E-02
-1.4080E-07,1.577705723234E-02
-1.4060E-07,1.558473586105E-02
-1.4040E-07,1.527285316028E-02
-1.4020E-07,1.511560120620E-02
-1.4000E-07,1.445500665344E-02
-1.3980E-07,1.421958227642E-02
-1.3960E-07,1.549178707413E-02
-1.3940E-07,1.504966403358E-02
-1.3920E-07,1.536888183095E-02
-1.3900E-07,1.654064907692E-02
-1.3880E-07,1.622719057836E-02
-1.3860E-07,1.595866140909E-02
-1.3840E-07,1.570989443921E-02
-1.3820E-07,1.458228678443E-02
-1.3800E-07,1.454259567894E-02
-1.3780E-07,1.497595730238E-02
-1.3760E-07,1.417389950715E-02
-1.3740E-07,1.421153192408E-02
-1.3720E-07,1.590038157068E-02
-1.3700E-07,1.546369838528E-02
-1.3680E-07,1.539168572985E-02
-1.3660E-07,1.607423481531E-02
-1.3640E-07,1.706258087419E-02
-1.3620E-07,1.611323022284E-02
-1.3600E-07,1.460016724654E-02
-1.3580E-07,1.509707487188E-02
-1.3560E-07,1.581583657302E-02
-1.3540E-07,1.572964406572E-02
-1.3520E-07,1.584932367317E-02
-1.3500E-07,1.588522662409E-02
-1.3480E-07,1.541366820224E-02
-1.3460E-07,1.576836799271E-02
-1.3440E-07,1.565162484534E-02
-1.3420E-07,1.570234094746E-02
-1.3400E-07,1.590786940418E-02
-1.3380E-07,1.575644054450E-02
-1.3360E-07,1.565360064618E-02
-1.3340E-07,1.478548740037E-02
-1.3320E-07,1.445512260310E-02
-1.3300E-07,1.497000289150E-02
-1.3280E-07,1.607897012494E-02
-1.3260E-07,1.594231390394E-02
-1.3240E-07,1.581884288229E-02
-1.3220E-07,1.494967305101E-02
-1.3200E-07,1.404073481448E-02
-1.3180E-07,1.486267448403E-02
-1.3160E-07,1.602260834537E-02
-1.3140E-07,1.564945672639E-02
-1.3120E-07,1.608900605701E-02
-1.3100E-07,1.608402720653E-02
-1.3080E-07,1.598115191795E-02
-1.3060E-07,1.604597988538E-02
-1.3040E-07,1.654378158040E-02
-1.3020E-07,1.634124918841E-02
-1.3000E-07,1.591909836046E-02
-1.2980E-07,1.554466384463E-02
-1.2960E-07,1.541293711402E-02
-1.2940E-07,1.485560760833E-02
-1.2920E-07,1.466502361931E-02
-1.2900E-07,1.544961166568E-02
-1.2880E-07,1.599522559904E-02
-1.2860E-07,1.558012953959E-02
-1.2840E-07,1.547432058491E-02
-1.2820E-07,1.582324617542E-02
-1.2800E-07,1.562798415311E-02
-1.2780E-07,1.497091465630E-02
-1.2760E-07,1.542603011243E-02
-1.2740E-07,1.518489533104E-02
-1.2720E-07,1.657717554830E-02
-1.2700E-07,1.639453434385E-02
-1.2680E-07,1.542797890492E-02
-1.2660E-07,1.387709165923E-02
-1.2640E-07,1.441462776624E-02
-1.2620E-07,1.611762932502E-02
-1.2600E-07,1.653389791958E-02
-1.2580E-07,1.616724646650E-02
-1.2560E-07,1.595598478802E-02
-1.2540E-07,1.603514255024E-02
-1.2520E-07,1.621320257895E-02
-1.2500E-07,1.503313259222E-02
-1.2480E-07,1.516974736936E-02
-1.2460E-07,1.540002758615E-02
-1.2440E-07,1.440429800190E-02
-1.2420E-07,1.425380838104E-02
-1.2400E-07,1.506380849518E-02
-1.2380E-07,1.593805962242E-02
-1.2360E-07,1.606478328817E-02
