in s,C1 in V
-1.4320E-07,4.39647338819E-02
-1.4300E-07,4.40607485827E-02
-1.4280E-07,4.39013108145E-02
-1.4260E-07,4.55098422710E-02
-1.4240E-07,4.33086147997E-02
-1.4220E-07,4.48784241918E-02
-1.4200E-07,4.48975651991E-02
-1.4180E-07,4.52754144091E-02
-1.4160E-07,4.34737685602E-02
-1.4140E-07,4.40219846088E-02
-1.4120E-07,4.75109075662E-02
-1.4100E-07,4.69166143332E-02
-1.4080E-07,4.31058519054E-02
-1.4060E-07,4.45337347221E-02
-1.4040E-07,4.51118369121E-02
-1.4020E-07,4.49565854389E-02
-1.4000E-07,4.75914972369E-02
-1.3980E-07,4.77878340054E-02
-1.3960E-07,4.72278786357E-02
-1.3940E-07,4.69023162033E-02
-1.3920E-07,4.60697603878E-02
-1.3900E-07,4.13763765711E-02
-1.3880E-07,4.24241843168E-02
-1.3860E-07,4.51959353406E-02
-1.3840E-07,4.22612564173E-02
-1.3820E-07,4.07285998110E-02
-1.3800E-07,4.27943058778E-02
-1.3780E-07,4.56623370293E-02
-1.3760E-07,4.49474025983E-02
-1.3740E-07,4.41681067925E-02
-1.3720E-07,4.31462503504E-02
-1.3700E-07,4.85115624499E-02
-1.3680E-07,4.74489792716E-02
-1.3660E-07,4.22344133723E-02
-1.3640E-07,4.58739521448E-02
-1.3620E-07,4.62081688922E-02
-1.3600E-07,4.29437575396E-02
-1.3580E-07,4.22427091282E-02
-1.3560E-07,4.40293001477E-02
-1.3540E-07,4.69193244819E-02
-1.3520E-07,4.56239106599E-02
-1.3500E-07,4.19337498490E-02
-1.3480E-07,4.36525801662E-02
-1.3460E-07,4.70949835610E-02
-1.3440E-07,4.83012698125E-02
-1.3420E-07,4.52114488464E-02
-1.3400E-07,4.44507422391E-02
-1.3380E-07,3.98259107489E-02
-1.3360E-07,4.30880845990E-02
-1.3340E-07,4.56077172887E-02
-1.3320E-07,4.81759161223E-02
-1.3300E-07,4.82408595737E-02
-1.3280E-07,4.73721381742E-02
-1.3260E-07,4.50308793690E-02
-1.3240E-07,4.46463642176E-02
-1.3220E-07,4.73859054502E-02
-1.3200E-07,4.65691611636E-02
-1.3180E-07,4.61117956322E-02
-1.3160E-07,4.28194422740E-02
-1.3140E-07,4.09571673255E-02
-1.3120E-07,4.10473216791E-02
-1.3100E-07,4.29886240046E-02
-1.3080E-07,3.94193651620E-02
-1.3060E-07,3.71628520545E-02
-1.3040E-07,3.97384991404E-02
-1.3020E-07,4.83552935068E-02
-1.3000E-07,4.76197861601E-02
-1.2980E-07,4.50366605539E-02
-1.2960E-07,4.32490776759E-02
-1.2940E-07,4.23893575091E-02
-1.2920E-07,4.31678896304E-02
-1.2900E-07,4.66176737566E-02
-1.2880E-07,4.84869545791E-02
-1.2860E-07,4.72283675801E-02
-1.2840E-07,4.59349537734E-02
-1.2820E-07,4.29030564148E-02
-1.2800E-07,4.15007686708E-02
