in s,C1 in V
-1.5020E-07,3.81493159104E-02
-1.5000E-07,3.80730638746E-02
-1.4980E-07,3.78065775614E-02
-1.4960E-07,3.77788846847E-02
-1.4940E-07,3.72204287443E-02
-1.4920E-07,3.67671493906E-02
-1.4900E-07,3.78379095811E-02
-1.4880E-07,3.79459453281E-02
-1.4860E-07,3.73280547094E-02
-1.4840E-07,3.74062834773E-02
-1.4820E-07,3.84367732797E-02
-1.4800E-07,3.87322144117E-02
-1.4780E-07,3.82272140589E-02
-1.4760E-07,3.83309890050E-02
-1.4740E-07,3.79563784692E-02
-1.4720E-07,3.76841412391E-02
-1.4700E-07,3.74907567631E-02
-1.4680E-07,3.79281524103E-02
-1.4660E-07,3.80713874940E-02
-1.4640E-07,3.77105069812E-02
-1.4620E-07,3.82925090846E-02
-1.4600E-07,3.85343875270E-02
-1.4580E-07,3.84523147251E-02
-1.4560E-07,3.84867922869E-02
-1.4540E-07,3.76734519843E-02
-1.4520E-07,3.76928025391E-02
-1.4500E-07,3.76862809528E-02
-1.4480E-07,3.85079589207E-02
-1.4460E-07,3.89832896646E-02
-1.4440E-07,3.91310486477E-02
-1.4420E-07,3.90151408967E-02
-1.4400E-07,3.91763714608E-02
-1.4380E-07,3.87070151512E-02
-1.4360E-07,3.78687549848E-02
-1.4340E-07,3.72583289165E-02
-1.4320E-07,3.77729102503E-02
-1.4300E-07,3.86164929252E-02
-1.4280E-07,3.76129020471E-02
-1.4260E-07,3.68436016608E-02
-1.4240E-07,3.73985115904E-02
-1.4220E-07,3.82995917927E-02
-1.4200E-07,3.70828002226E-02
-1.4180E-07,3.76090254169E-02
-1.4160E-07,3.79177262541E-02
-1.4140E-07,3.81823592354E-02
-1.4120E-07,3.78587758634E-02
-1.4100E-07,3.75195648987E-02
-1.4080E-07,3.72981569264E-02
-1.4060E-07,3.74930431601E-02
-1.4040E-07,3.76568395179E-02
-1.4020E-07,3.85155934375E-02
-1.4000E-07,3.87972021010E-02
-1.3980E-07,3.74421184417E-02
-1.3960E-07,3.74917299952E-02
-1.3940E-07,3.80355967674E-02
-1.3920E-07,3.74536645133E-02
-1.3900E-07,3.65151078906E-02
-1.3880E-07,3.79672074225E-02
-1.3860E-07,3.90425217804E-02
-1.3840E-07,3.86691871565E-02
-1.3820E-07,3.73184946831E-02
-1.3800E-07,3.86910825502E-02
-1.3780E-07,3.88139053713E-02
-1.3760E-07,3.90648292843E-02
-1.3740E-07,3.90795302112E-02
-1.3720E-07,3.78817981575E-02
-1.3700E-07,3.73771354090E-02
-1.3680E-07,3.76504459884E-02
-1.3660E-07,3.85177447926E-02
-1.3640E-07,3.83319692220E-02
-1.3620E-07,3.83307375479E-02
-1.3600E-07,3.84047520813E-02
-1.3580E-07,3.83772803936E-02
-1.3560E-07,3.78874419723E-02
-1.3540E-07,3.82512468379E-02
-1.3520E-07,3.74488216359E-02
-1.3500E-07,3.74707798939E-02
-1.3480E-07,3.79307345021E-02
-1.3460E-07,3.78982639406E-02
-1.3440E-07,3.76387346070E-02
-1.3420E-07,3.66599122528E-02
-1.3400E-07,3.68520929944E-02
-1.3380E-07,3.68715762626E-02
-1.3360E-07,3.75687317457E-02
-1.3340E-07,3.79701480735E-02
-1.3320E-07,3.87172596995E-02
-1.3300E-07,3.82593889255E-02
-1.3280E-07,3.85728371795E-02
-1.3260E-07,3.87897771317E-02
-1.3240E-07,3.81872812752E-02
-1.3220E-07,3.86623396072E-02
-1.3200E-07,3.95253543276E-02
-1.3180E-07,3.80164115224E-02
-1.3160E-07,3.74952946324E-02
-1.3140E-07,3.76519687008E-02
-1.3120E-07,3.84091362823E-02
-1.3100E-07,3.81915956270E-02
-1.3080E-07,3.86648821179E-02
-1.3060E-07,3.82095305715E-02
-1.3040E-07,3.80400647875E-02
-1.3020E-07,3.81400399376E-02
-1.3000E-07,3.92332915682E-02
-1.2980E-07,3.90593554359E-02
-1.2960E-07,3.85202453937E-02
-1.2940E-07,3.80546795670E-02
-1.2920E-07,3.79024199676E-02
-1.2900E-07,3.88169275131E-02
-1.2880E-07,3.86712709907E-02
-1.2860E-07,3.86239109095E-02
-1.2840E-07,3.86129538994E-02
-1.2820E-07,3.92926959787E-02
-1.2800E-07,3.87850110885E-02
-1.2780E-07,3.78701263573E-02
-1.2760E-07,3.73718059156E-02
-1.2740E-07,3.71580697130E-02
-1.2720E-07,3.83376828860E-02
-1.2700E-07,3.85207902174E-02
-1.2680E-07,3.75660262536E-02
-1.2660E-07,3.83832664695E-02
-1.2640E-07,3.96218905691E-02
-1.2620E-07,3.94764575642E-02
-1.2600E-07,3.78227918874E-02
-1.2580E-07,3.81068382878E-02
-1.2560E-07,3.88345830608E-02
-1.2540E-07,3.93746593501E-02
-1.2520E-07,3.85342874099E-02
-1.2500E-07,3.81185450125E-02
-1.2480E-07,3.80610405002E-02
-1.2460E-07,3.84801775683E-02
-1.2440E-07,3.83267654572E-02
-1.2420E-07,3.79257449415E-02
-1.2400E-07,3.68821560871E-02
-1.2380E-07,3.84324007202E-02
-1.2360E-07,3.91172580887E-02
-1.2340E-07,3.83259691764E-02
-1.2320E-07,3.67015027907E-02
-1.2300E-07,3.71119948570E-02
-1.2280E-07,3.79867605399E-02
-1.2260E-07,3.80908288527E-02
-1.2240E-07,3.79396379460E-02
-1.2220E-07,3.84844057728E-02
-1.2200E-07,3.78510924522E-02
-1.2180E-07,3.75171294901E-02
-1.2160E-07,3.83098875638E-02
-1.2140E-07,3.77308726776E-02
-1.2120E-07,3.80603746045E-02
-1.2100E-07,3.74562745448E-02
-1.2080E-07,3.73231559526E-02
-1.2060E-07,3.80173614714E-02
-1.2040E-07,3.68914320599E-02
-1.2020E-07,3.70011441875E-02
-1.2000E-07,3.78519096877E-02
-1.1980E-07,3.75785921235E-02
-1.1960E-07,3.74180530664E-02
-1.1940E-07,3.85146434884E-02
-1.1920E-07,3.90153225046E-02
-1.1900E-07,3.83901792113E-02
-1.1880E-07,3.91685367096E-02
-1.1860E-07,3.90856536571E-02
-1.1840E-07,3.80474059377E-02
-1.1820E-07,3.79633843433E-02
-1.1800E-07,3.78265660722E-02
-1.1780E-07,3.82175073493E-02
-1.1760E-07,3.81045844872E-02
-1.1740E-07,3.75808459241E-02
-1.1720E-07,3.74854365829E-02
-1.1700E-07,3.75511483755E-02
-1.1680E-07,3.69943292346E-02
-1.1660E-07,3.74665330630E-02
-1.1640E-07,3.72084565926E-02
-1.1620E-07,3.69338561315E-02
-1.1600E-07,3.76497335266E-02
